First Name,Last Name,Phone,Country,College,Enrollment Status,Counsellor,Fee Currency,Fee Amount,Fee Paid,Balance Due,Fee Payment Status,Student ID,Deadline Date
Binta,Kamau,,Nigeria,Srm University,In Progress,Priya,USD,562.5,0.0,562.5,Payment Due,EDO7182,2026-03-04
Chidi,Girma,+264733532804,Namibia,Sharda University,Applied,Manan,USD,750.0,394.0,356.0,Payment Due,EDO9400,2025-12-15
Emmanuel,Kariuki,+267310851528,Botswana,Amity Noida,Dropped,Akshay,USD,750.0,455.0,295.0,Payment Due,EDO8757,2025-04-25
Emmanuel,Mokoena,854746785,Ethiopia,Lpu,Active,Manan,USD,750.0,750.0,0.0,No Payment Due,EDO6256,2026-06-21
Amara,Khumalo,,Rwanda,Bennett University,Applied,Priya,USD,1000.0,323.0,677.0,Payment Due,EDO9451,2024-05-04
Chisom,Toure,,Ethiopia,Amity Noida,Active,Unknown,USD,2000.0,2000.0,0.0,No Payment Due,EDO4531,2025-12-11
Omondi,Mensah,+250116654206,Rwanda,,Pending,Mayank,USD,750.0,0.0,750.0,Payment Due,EDO8712,2024-08-30
Samuel,Wanjiru,+233217127848,Ghana,Bennett University,In Progress,Abdul,USD,562.5,0.0,562.5,Payment Due,EDO5331,2026-12-21
Faith,Mthembu,+265724387750,Malawi,Chitkara University,On Hold,Vivek,USD,1000.0,277.0,723.0,Payment Due,EDO9232,2025-06-13
Mutua,Obi,+233189324495,Ghana,Vit University,Enrolled,Priya,USD,1500.0,248.0,1252.0,Payment Due,EDO6038,2026-09-26
Peace,Sithole,,Ethiopia,,Active,Unknown,USD,750.0,97.0,653.0,Payment Due,EDO1731,2026-07-03
Solomon,,+264998447456,Namibia,Chitkara University,In Progress,Unknown,USD,750.0,600.0,150.0,Payment Due,EDO7681,2026-08-17
Peace,Zungu,+265136819955,Malawi,Upes,Enrolled,Akshay,USD,1000.0,575.0,425.0,Payment Due,EDO1790,2026-12-26
Linet,Mumba,+255064212206,Tanzania,Amity Noida,Waitlisted,Priya,USD,1000.0,389.0,611.0,Payment Due,EDO5482,2026-01-05
Zanele,Quartey,542629926,Zimbabwe,Srm Chennai,Waitlisted,Vivek,USD,1000.0,1000.0,0.0,No Payment Due,EDO8272,2025-04-02
Musa,Mwale,+27162012998,South Africa,Manipal University,Pending,Manan,USD,562.5,226.3,336.2,Payment Due,EDO9884,2025-06-19
Nomsa,Nwosu,+264921776353,Namibia,Amity University,Applied,Priya,USD,750.0,142.0,608.0,Payment Due,EDO2369,2025-12-14
Faith,Achieng,583410378,Namibia,Upes,Enrolled,Not Found,USD,1500.0,1500.0,0.0,No Payment Due,EDO3368,2024-05-13
Tunde,Mbewe,792737340,Zambia,Upes,Active,Priya,USD,562.5,562.5,0.0,No Payment Due,EDO2678,2024-11-22
Otieno,Gyasi,+264576730723,Namibia,Lovely Professional University,Active,Manan,USD,750.0,0.0,750.0,Payment Due,EDO5343,2024-08-21
Omondi,Uche,+260081851818,Zambia,Manipal University,On Hold,Priya,USD,750.0,367.0,383.0,Payment Due,EDO4822,2026-06-07
Binta,Zulu,,Cameroon,Srm Chennai,Enrolled,Abdul,USD,750.0,750.0,0.0,No Payment Due,EDO7055,2026-10-14
Kariuki,Barry,,Zimbabwe,Sharda University,Active,Vivek,USD,937.5,937.5,0.0,No Payment Due,EDO8060,2026-11-29
Ibrahim,Wanjiru,+265997758073,Malawi,Sharda University,Enrolled,Priya,USD,562.5,399.025,163.47500000000002,Payment Due,EDO6681,2025-06-02
Nomsa,Mutua,+260844537854,Zambia,Amity University,Pending,Priya,USD,1000.0,1000.0,0.0,No Payment Due,EDO8434,2025-12-19
Ngozi,Diallo,,Kenya,Srm Chennai,Pending,Abdul,USD,750.0,0.0,750.0,Payment Due,EDO5740,2026-09-29
Grace,Banda,,Zambia,Upes,Pending,Akshay,USD,3000.0,206.0,2794.0,Payment Due,EDO3639,2026-06-15
Wanjiru,Diop,+265811629644,Malawi,Manipal University,Pending,Manan,USD,2500.0,525.0,1975.0,Payment Due,EDO8580,2026-03-31
Hope,Kebede,+254138899873,Kenya,Srm Chennai,In Progress,Vivek,USD,750.0,0.0,750.0,Payment Due,EDO7976,2025-05-06
Emmanuel,Owusu,+267432121130,Botswana,Srm University,Waitlisted,Not Assigned,USD,937.5,769.575,167.92499999999995,Payment Due,EDO8588,2024-10-24
Kofi,Mumba,+251408274040,Ethiopia,Manipal University,Active,Mayank,USD,750.0,0.0,750.0,Payment Due,EDO2770,2024-03-18
Zara,Obi,+265145142198,Malawi,Srm University,Dropped,Mayank,USD,937.5,937.5,0.0,No Payment Due,EDO6500,2024-12-14
Victor,Gyasi,256319559100,Uganda,Lovely Professional University,Enrolled,Unknown,USD,750.0,750.0,0.0,No Payment Due,EDO6939,2026-11-27
Ibrahim,Fall,785562711,South Africa,,Applied,Mayank,USD,3000.0,0.0,3000.0,Payment Due,EDO1548,2025-05-12
Nomsa,Obi,+254575734964,Kenya,Lpu,On Hold,Manan,USD,1000.0,1000.0,0.0,No Payment Due,EDO5845,2025-12-13
Adaeze,Tembo,+263386036001,Zimbabwe,Chitkara University,Waitlisted,Mayank,USD,2500.0,2500.0,0.0,No Payment Due,EDO7717,2024-04-08
Nkechi,Alemu,+27059303663,South Africa,Amity Noida,Enrolled,Priya,USD,1000.0,1000.0,0.0,No Payment Due,EDO7377,2025-06-05
Victor,Abebe,+264811130468,Namibia,Manipal University,Applied,Akshay,USD,750.0,64.0,686.0,Payment Due,EDO3776,2024-06-11
Daniel,,+255077654941,Tanzania,Amity Noida,Active,Akshay,USD,1500.0,1500.0,0.0,No Payment Due,EDO1475,2024-12-06
Isaac,Annan,+263146697590,Zimbabwe,Srm University,Pending,Priya,USD,2000.0,0.0,2000.0,Payment Due,EDO8165,2024-04-23
Joy,Tembo,,Botswana,Srm University,Waitlisted,Akshay,USD,1500.0,455.0,1045.0,Payment Due,EDO6609,2024-12-26
Hope,Tadesse,+233936741903,Ghana,Vit University,Inactive,Mayank,USD,2500.0,0.0,2500.0,Payment Due,EDO7284,2024-07-30
Sipho,Mokoena,+267973448559,Botswana,Lpu,Dropped,Priya,USD,2500.0,2500.0,0.0,No Payment Due,EDO4667,2026-05-26
Ngozi,Tesfaye,+255270933708,Tanzania,Bennett University,Dropped,Akshay,USD,562.5,127.075,435.425,Payment Due,EDO9975,2024-02-11
Daniel,Adeyemi,578876473,Rwanda,Lovely Professional University,Pending,Priya,USD,2500.0,1411.0,1089.0,Payment Due,EDO7085,2025-01-18
Moses,Adeyemi,+256326389907,Uganda,Manipal University,Deferred,Manan,USD,2500.0,148.0,2352.0,Payment Due,EDO5406,2025-07-25
Lebo,Appiah,+263298856440,Zimbabwe,,Enrolled,Manan,USD,1000.0,596.0,404.0,Payment Due,EDO7552,2025-04-04
Blessing,Mabaso,+265555426635,Malawi,Lpu,Active,Mayank,USD,3000.0,851.0,2149.0,Payment Due,EDO8833,2026-09-26
Hassan,Haile,519277772,Tanzania,Bennett University,Enrolled,Priya,USD,750.0,135.0,615.0,Payment Due,EDO9786,2026-12-25
Ade,,,Cameroon,Srm University,Waitlisted,Vivek,USD,2500.0,469.0,2031.0,Payment Due,EDO3597,2024-03-11
Peace,Alemu,+237828600165,Cameroon,Sharda University,Waitlisted,Vivek,USD,750.0,0.0,750.0,Payment Due,EDO4495,2026-04-13
Otieno,Mwale,+255578009146,Tanzania,Srm Chennai,Applied,Not Assigned,USD,1000.0,156.0,844.0,Payment Due,EDO1295,2026-05-13
Musa,Annan,+251448935670,Ethiopia,Lpu,Enrolled,Not Found,USD,3000.0,3000.0,0.0,No Payment Due,EDO1255,2025-04-06
Wanjiru,Tesfaye,+237420470724,Cameroon,Upes,Deferred,Akshay,USD,2500.0,0.0,2500.0,Payment Due,EDO8803,2024-06-14
Victor,Kebede,612729410,Ethiopia,Lovely Professional University,Active,Abdul,USD,750.0,0.0,750.0,Payment Due,EDO1118,2024-01-16
Sade,Tembo,+251246559472,Ethiopia,Amity Noida,Dropped,Unknown,USD,562.5,69.45,493.05,Payment Due,EDO1303,2026-01-26
Kamau,Phiri,+256022793612,Uganda,Srm University,On Hold,Vivek,USD,750.0,158.0375,591.9625,Payment Due,EDO5162,2026-11-07
Otieno,Sithole,583345213,Kenya,Upes,Pending,Abdul,USD,562.5,157.925,404.575,Payment Due,EDO5104,2025-01-09
Hope,Tesfaye,,Nigeria,Lovely Professional University,Dropped,Not Assigned,USD,750.0,0.0,750.0,Payment Due,EDO1172,2024-08-12
Musa,Omondi,787845546,Cameroon,Bennett University,Waitlisted,Mayank,USD,1000.0,142.0,858.0,Payment Due,EDO7391,2024-03-27
Chisom,Kariuki,+27956233050,South Africa,Manipal University,Enrolled,Vivek,USD,3000.0,3000.0,0.0,No Payment Due,EDO3464,2025-09-05
Emeka,Diop,+264595672730,Namibia,Bennett University,Inactive,Abdul,USD,3000.0,0.0,3000.0,Payment Due,EDO5202,2024-09-26
Aminata,Gyasi,+265239946420,Malawi,Upes,Active,Abdul,USD,1000.0,0.0,1000.0,Payment Due,EDO4419,2024-04-20
Kariuki,Mabaso,+265159785133,Malawi,Srm University,Active,Abdul,USD,937.5,937.5,0.0,No Payment Due,EDO3441,2026-06-13
Victor,Kamau,+250735249445,Rwanda,Chitkara University,Pending,Akshay,USD,750.0,0.0,750.0,Payment Due,EDO9660,2026-10-16
Tendai,Njoroge,+265165834023,Malawi,Upes,Dropped,Vivek,USD,2500.0,690.0,1810.0,Payment Due,EDO5798,2025-08-05
Ruth,Njoroge,416635216,Tanzania,Vit University,Waitlisted,Mayank,USD,750.0,37.7,712.3,Payment Due,EDO6102,2026-06-27
Nia,Dike,+237492390323,Cameroon,Upes,Pending,Priya,USD,750.0,750.0,0.0,No Payment Due,EDO5727,2026-12-02
Hassan,Adeyemi,+234432315970,Nigeria,Bennett University,Waitlisted,Akshay,USD,1000.0,1000.0,0.0,No Payment Due,EDO5712,2025-04-24
Aminata,Mthembu,237263415551,Cameroon,Lpu,On Hold,Akshay,USD,2000.0,2000.0,0.0,No Payment Due,EDO5013,2025-04-29
Kofi,Abebe,+255385128897,Tanzania,Amity University,Pending,Priya,USD,750.0,78.0,672.0,Payment Due,EDO3883,2026-08-02
Njoroge,Okeke,,Nigeria,Vit University,Inactive,Akshay,USD,750.0,386.0,364.0,Payment Due,EDO6636,2026-03-29
Nkechi,Tadesse,+234229449303,Nigeria,Amity University,In Progress,Priya,USD,750.0,106.1,643.9,Payment Due,EDO9395,2025-10-17
Halima,Banda,,Nigeria,Srm University,Enrolled,Mayank,USD,1000.0,1000.0,0.0,No Payment Due,EDO6795,2024-12-25
Fatima,Khumalo,256172559229,Uganda,Chitkara University,Waitlisted,Mayank,USD,2500.0,2500.0,0.0,No Payment Due,EDO6551,2025-12-31
Abraham,Kapinga,+233516505586,Ghana,Sharda University,Pending,Mayank,USD,3000.0,0.0,3000.0,Payment Due,EDO9377,2024-01-01
Moses,Asante,,Rwanda,Lovely Professional University,Enrolled,Vivek,USD,562.5,163.275,399.225,Payment Due,EDO1840,2026-06-13
Abena,Fall,+255434588783,Tanzania,Srm University,Enrolled,Vivek,USD,3000.0,0.0,3000.0,Payment Due,EDO1291,2024-08-21
Kemi,Diallo,+255727085211,Tanzania,Lovely Professional University,Enrolled,Akshay,USD,750.0,46.8625,703.1375,Payment Due,EDO6252,2026-06-27
Emeka,Kariuki,+255404398036,Tanzania,,Pending,Priya,USD,2500.0,0.0,2500.0,Payment Due,EDO5150,2026-05-28
Joy,Mbewe,+264433811157,Namibia,Bennett University,Enrolled,Akshay,USD,750.0,0.0,750.0,Payment Due,EDO5171,2024-09-23
