First Name,Last Name,Phone,Country,College,Enrollment Status,Counsellor,Fee Currency,Fee Amount,Fee Paid,Balance Due,Fee Payment Status,Student ID,Deadline Date
Binta,KAMAU,Not Found,Nigeria,SRM UNIVERSITY,In Progress,priya,INR,45000,0,,,EDO7182,04-03-2026
CHIDI,girma,264733532804,Namibia,Sharda University,Applied,Manan,,$750,394,,,EDO9400,15-12-2025
Emmanuel,kariuki,267310851528,Botswana,Amity Noida,Dropped,AKSHAY,,$750,455,,,EDO8757,25-04-2025
EMMANUEL,mokoena,854746785,Ethiopia,LPU,Active,Manan,,USD 750,750,,,EDO6256,21-06-2026
AMARA,Khumalo,Not Found,Rwanda,bennett university,Applied,PRIYA,,1000 USD,323,,,EDO9451,04-05-2024
Chisom,toure,N/A,Ethiopia,Amity Noida,Active,Unknown,,2000 USD,2000,,,EDO4531,11-12-2025
Omondi,MENSAH,+250116654206,Rwanda,Not Assigned,Pending,MAYANK,,Rs.60000,0,,,EDO8712,30-08-2024
SAMUEL,Wanjiru,+233 217 127 848,Ghana,Bennett University,In Progress,Abdul,INR,45000,0,,,EDO5331,21-12-2026
faith,MTHEMBU,+265 724 387 750,Malawi,Chitkara University,On Hold,Vivek,INR,1000,277,,,EDO9232,13-06-2025
MUTUA,OBI,+233189324495,Ghana,VIT University,Enrolled,Priya,Rs,1500,248,,,EDO6038,26-09-2026
PEACE,Sithole,N/A,Ethiopia,,Active,Unknown,Rs,750,97,,,EDO1731,03-07-2026
SOLOMON,,264998447456,Namibia,chitkara university,In Progress,Unknown,Rs,750,600,,,EDO7681,17-08-2026
Peace,Zungu,+265136819955,Malawi,UPES,Enrolled,Akshay,,1000 USD,575,,,EDO1790,26-12-2026
Linet,MUMBA,+255064212206,Tanzania,amity noida,Waitlisted,priya,,"$1,000",389,,,EDO5482,05-01-2026
ZANELE,quartey,542629926,Zimbabwe,SRM Chennai,Waitlisted,Vivek,USD,1000,1000,,,EDO8272,02-04-2025
MUSA,MWALE,+27162012998,South Africa,MANIPAL UNIVERSITY,Pending,MANAN,,Rs.45000,18104,,,EDO9884,19-06-2025
Nomsa,Nwosu,+264 921 776 353,Namibia,AMITY UNIVERSITY,Applied,Priya,,750 USD,142,,,EDO2369,14-12-2025
FAITH,Achieng,583410378,Namibia,UPES,Enrolled,Not Found,USD,1500,1500,,,EDO3368,13-05-2024
TUNDE,mbewe,792737340,Zambia,UPES,Active,Priya,,45000 INR,45000,,,EDO2678,22-11-2024
otieno,GYASI,+264576730723,Namibia,LOVELY PROFESSIONAL UNIVERSITY,Active,MANAN,,$750,0,,,EDO5343,21-08-2024
Omondi,uche,+260081851818,Zambia,Manipal University,On Hold,Priya,,USD 750,367,,,EDO4822,07-Jun-2026
